,invoice_no,invoice_amount
7843,505202,2940.16
7844,505203,707.91
7846,505206,701.32
7847,505209,693.5500000000001
7852,505214,2236.61
7863,505227,874.84
7865,505229,874.84
7870,505235,1576.8
7871,505236,1000.5
7874,505239,757.95
7880,505314,1112.06
7890,505335,3857.2
7892,505337,910.93
7907,505354,1018.66
7909,505356,801.47
7915,505363,842.45
7925,505376,609.92
7936,505396,3181.97
7937,505397,679.35
7945,505450,3374.8
7947,505453,969.69
7951,505462,1045.1
7955,505466,690.7
7974,505505,5876.34
7977,505508,972.54
7978,505509,1085.0
7979,505510,1862.54
7993,505525,887.4
7996,505533,740.52
7997,505534,1824.1
7999,505536,840.0
8001,505538,791.99
8005,505547,748.0
8025,505568,978.21
8062,505684,1553.97
8084,505707,1002.95
8086,505709,612.07
8087,505710,645.1
8090,505713,654.32
8096,505719,635.85
8105,505732,657.21
8114,505741,918.88
8117,505744,2310.0
8118,505745,2816.62
8120,505747,3256.64
8128,505755,646.55
8150,505777,1402.86
8169,505840,661.79
8172,505843,1007.79
8209,505883,956.9
8210,505884,906.0
8214,505888,1194.33
8221,505941,683.48
8231,505973,884.22
8235,505977,2519.52
8236,505978,856.44
8239,505981,5416.8
8242,505984,3707.92
8243,505985,796.68
8245,505987,1480.37
8252,505994,942.46
8255,505997,641.05
8258,506000,725.15
8259,506003,2409.2200000000003
8264,506029,683.0
8267,506066,1080.2
8268,506070,1050.85
8271,506082,1160.1
8276,506100,2043.36
8288,506112,813.6
8290,506114,812.45
8307,506137,689.47
8312,506142,1252.95
8315,506146,2323.34
8318,506162,2525.86
8319,506163,1443.02
8329,506174,714.0
8335,506209,690.05
8337,506223,687.15
8338,506224,1192.27
8340,506226,838.69
8342,506228,1049.66
8344,506230,2222.08
8352,506244,950.3100000000001
8357,506249,885.5400000000001
8362,506254,1242.63
8364,506256,611.9000000000001
8390,506283,644.17
8391,506285,797.16
8394,506289,686.52
8395,506290,1124.98
8397,506293,1898.57
8399,506295,1007.08
8403,506299,758.1800000000001
8413,506313,1638.29
8415,506317,673.74
8419,506361,819.35
8426,506384,1133.6
8429,506388,840.67
8433,506394,1068.52
8442,506410,632.35
8451,506435,1210.96
8460,506445,1413.75
8468,506453,1307.27
8478,506463,766.99
8482,506467,7210.32
8487,506472,710.4399999999999
8490,506487,1354.5
8493,506555,1637.62
8497,506559,674.36
8513,506576,1655.71
8514,506577,968.53
8516,506579,1388.54
8518,506581,2292.48
8519,506582,759.36
8526,506615,938.79
8547,506684,978.68
8550,506687,612.5
8563,506700,1381.98
8568,506707,1098.27
8571,506710,611.5
8576,506715,1034.6599999999999
8583,506724,1284.15
8589,506730,694.66
8596,506741,958.89
8605,506754,651.53
8607,506781,992.04
8613,506820,759.4
8620,506831,853.35
8621,506834,785.52
8624,506839,1126.0
8625,506840,1008.9499999999999
8627,506842,937.77
8632,506860,728.84
8640,506869,1463.98
8642,506871,978.38
8656,506900,920.3100000000001
8671,506954,796.6
8676,506959,1181.45
8679,506962,691.03
8680,506963,952.41
8681,506964,1215.6100000000001
8686,506976,606.81
8688,506981,818.55
8699,507000,888.85
8704,507005,868.32
8705,507006,642.5699999999999
8722,507025,1521.75
8725,507028,841.17
8726,507029,804.76
8735,507041,1031.9
8750,507060,662.25
8752,507062,1224.36
8754,507064,855.38
8759,507116,1531.65
8764,507122,6564.37
8772,507132,699.17
8777,507149,671.64
8786,507158,948.13
8802,507176,750.28
8803,507177,1257.82
8804,507178,12569.48
8805,507179,4751.16
8807,507181,681.36
8816,507193,595.18
8822,507206,673.86
8825,507210,2593.62
8832,507227,898.45
8839,507235,6361.97
8848,507244,1051.1999999999998
8849,507245,951.0
8850,507246,2121.36
8852,507248,754.8000000000001
8857,507253,2085.0
8862,507258,610.6
8863,507259,760.65
8883,507281,922.84
8893,507292,3751.54
8902,507306,1857.0
8907,507359,1023.74
8915,507369,771.78
8922,507376,601.12
8931,507386,1063.8799999999999
8933,507388,730.42
8938,507393,2814.41
8941,507396,956.9300000000001
8944,507399,1438.19
8951,507407,667.45
8958,507414,799.36
8960,507417,836.5600000000001
8965,507422,947.6700000000001
8988,507445,928.55
8991,507448,1927.64
8995,507453,605.65
8996,507455,674.02
9001,507463,757.2
9002,507464,1621.7999999999997
9003,507465,1393.92
9008,507478,760.75
9017,507521,996.9000000000001
9031,507604,1665.8
9042,507620,821.6
9045,507624,1192.64
9046,507634,1149.3700000000001
9049,507637,1157.15
9059,507649,864.59
9062,507660,945.75
9066,507667,643.2
9072,507673,927.5500000000001
9086,507687,837.11
9097,507698,1041.51
9104,507707,1926.4
9107,507710,1085.5
9109,507712,1859.72
9112,507715,1244.6
9115,507728,790.38
9167,507837,681.41
9168,507838,708.92
9173,507843,679.98
9175,507845,2174.1
9211,507881,1425.27
9244,507916,670.8
9246,507918,632.5
9250,507923,621.93
9286,507975,1980.0
9287,507996,4997.44
9289,507998,606.28
9290,507999,637.2
9329,508038,646.85
9337,508050,1676.3300000000002
9339,508052,753.45
9345,508060,732.34
9349,508064,719.8
9361,508077,1612.7
9363,508079,782.0600000000001
9364,508080,768.44
9366,508082,1024.8
9375,508094,2532.82
9376,508095,4798.8
9377,508096,4815.8
9378,508097,732.42
9379,508098,1466.38
9382,508101,755.42
9385,508104,712.28
9392,508147,1236.6000000000001
9420,508196,2026.71
9426,508202,1835.53
9431,508214,634.13
9433,508217,2691.59
9438,508222,645.35
9443,508228,2063.35
9450,508245,856.2
9454,508251,1612.6599999999999
9465,508333,5106.73
9502,508451,1540.13
9515,508470,611.08
9517,508472,788.63
9525,508482,1117.89
9526,508483,735.49
9533,508490,621.37
9537,508494,1489.46
9539,508496,678.66
9543,508501,3681.0
9544,508502,1209.1399999999999
9546,508504,1281.0
9550,508508,641.37
9564,508522,728.4
9565,508523,648.58
9566,508524,1193.5
9567,508525,1012.96
9570,508529,3363.57
9572,508581,1071.61
9574,508593,925.35
9575,508594,1793.6
9582,508615,966.57
9599,508640,966.0
9602,508643,2153.42
9613,508654,2102.16
9676,508733,610.34
9679,508736,671.97
9685,508747,929.85
9686,508748,6250.0
9692,508756,660.0
9695,508759,597.52
9704,508796,925.1600000000001
9713,508821,1037.7
9714,508822,595.1700000000001
9724,508854,1797.96
9733,508864,1338.04
9743,508898,603.96
9744,508899,595.94
9772,508972,788.61
9773,508979,1116.08
9774,508986,693.48
9803,509021,782.8
9811,509029,891.1700000000001
9817,509037,1000.0
9827,509050,1090.7
9834,509115,1215.73
9836,509118,609.98
9851,509153,1442.32
9854,509156,636.08
9863,509165,1109.4
9864,509166,687.9300000000001
9874,509186,641.74
9875,509187,943.97
9882,509196,943.95
9884,509198,1109.75
9885,509199,634.77
9890,509204,657.4
9892,509206,1312.51
9893,509207,1793.02
9896,509210,1318.63
9902,509216,2062.66
9936,509311,617.38
9966,509347,1541.8799999999999
9971,509352,5782.0
9983,509385,659.66
9984,509386,600.05
9986,509389,725.05
9994,509398,632.95
9996,509400,610.55
10000,509404,1503.8400000000001
10001,509405,896.16
10004,509408,957.43
10011,509416,761.3
10016,509422,1381.97
10030,509437,6802.48
10031,509438,629.4
10033,509440,849.4300000000001
10045,509453,1184.08
10046,509454,893.74
10048,509456,695.37
10052,509460,1195.42
10053,509461,734.72
10064,509472,10877.18
10070,509531,1224.12
10072,509533,1880.64
10090,509567,640.82
10096,509574,744.82
10103,509581,752.78
10116,509595,594.6600000000001
10117,509596,738.49
10129,509611,646.4300000000001
10130,509615,774.25
10134,509621,642.9300000000001
10137,509627,622.04
10141,509636,810.86
10152,509649,1056.0
10155,509668,1196.35
10162,509738,984.65
10167,509743,1004.7
10173,509750,1240.87
10174,509751,949.56
10178,509759,1078.81
10180,509765,1000.6999999999999
10260,509849,610.87
10261,509850,945.0
10262,509851,1389.26
10277,509871,1111.81
10278,509873,3596.7
10304,509942,1395.98
10329,509972,1625.31
10330,509973,1445.29
10331,509974,877.14
10336,509980,1407.7
10338,509982,728.75
10347,510002,1021.2
10359,510041,2396.61
10362,510047,1168.2
10368,510054,718.51
10377,510064,1515.97
10379,510067,1894.34
10385,510078,981.7
10395,510134,754.35
10406,510145,595.78
10409,510148,823.51
10411,510150,1141.62
10422,510164,882.6
10428,510170,1527.2
10429,510171,870.78
10430,510172,678.87
10431,510173,1004.37
10432,510174,743.87
10438,510180,594.01
10455,510204,2837.04
10459,510225,1449.75
10461,510228,1564.0
10462,510230,733.03
10463,510232,791.05
10465,510239,610.1
10477,510291,751.65
10491,510329,908.46
10493,510331,1458.71
10511,510364,655.76
10516,510410,1523.64
10518,510412,968.6
10525,510421,1071.3
10526,510422,1033.69
10535,510431,1440.81
10542,510439,622.8100000000001
10552,510450,743.35
10556,510454,660.1
10570,510497,639.39
10571,510498,1303.78
10577,510519,2463.8199999999997
10581,510539,2051.84
10586,510544,770.97
10604,510623,2131.62
10610,510637,2404.58
10622,510649,973.4
10634,510662,635.9
10635,510663,1664.8899999999999
10647,510675,609.62
10648,510678,1352.24
10652,510682,652.17
10660,510725,1740.8
10662,510727,2831.82
10666,510733,1686.41
10669,510737,752.44
10674,510742,682.5600000000001
10678,510753,891.03
10689,510772,2822.61
10692,510775,1130.3999999999999
10694,510777,978.24
10700,510783,674.33
10716,510806,1657.38
10718,510819,723.55
10807,510936,620.6
10812,510965,2036.6999999999998
10820,510983,3043.36
10831,510994,1675.52
10854,511018,2237.69
10857,511021,1247.07
10860,511026,630.78
10867,511035,708.55
10869,511038,1319.53
10870,511039,1078.05
10880,511051,1680.47
10881,511052,895.13
10883,511055,648.99
10890,511062,904.3
10911,511083,1081.33
10920,511093,741.52
10922,511095,1153.49
10927,511100,1558.65
10932,511105,1286.18
10935,511109,5368.86
10939,511113,664.24
10947,511122,1154.68
10949,511124,1299.85
10965,511164,3610.5
10968,511176,3610.5
10977,511233,691.4
10980,511242,633.76
10989,511269,870.3
10990,511270,782.9
10995,511277,3175.5
10998,511280,678.75
11000,511282,1470.53
11023,511306,602.43
11031,511316,1511.76
11036,511325,977.86
11039,511328,1258.2
11042,511331,597.0
11045,511335,6007.68
11049,511362,617.35
11050,511375,891.8100000000001
11056,511435,4588.62
11059,511439,780.0
11063,511445,609.89
11070,511452,1095.71
11082,511465,10200.0
11093,511476,729.73
11096,511480,701.88
11098,511483,878.14
11101,511488,965.04
11102,511497,1603.71
11113,511509,609.41
11117,511514,1242.8899999999999
11120,511520,849.45
11121,511522,1859.64
11123,511525,849.45
11141,511544,2422.7799999999997
11142,511545,1273.07
11153,511556,3330.52
11155,511558,1708.86
11176,511621,1590.1100000000001
11180,511634,8141.139999999999
11184,511638,661.62
11186,511640,1352.96
11194,511656,1349.8700000000001
11198,511672,970.2
11201,511678,2090.88
11211,511690,749.96
11240,511778,2199.39
11251,511791,971.26
11255,511797,601.52
11260,511803,834.25
11264,511816,734.0799999999999
11285,511853,2608.04
11286,511854,771.3
11287,511855,851.93
11289,511858,1633.81
11299,511886,2031.48
11314,511934,757.26
11340,511961,1575.26
11341,511962,894.0
11345,511968,832.0
11349,511972,1570.96
11357,511991,1708.56
11359,511993,800.0
11362,511997,648.05
11365,512002,1000.63
11366,512004,1364.68
11368,512024,851.6
11369,512029,851.6
11374,512045,706.78
11383,512056,800.86
11390,512064,893.22
11397,512071,648.51
11403,512077,908.38
11404,512078,612.0
11428,512107,607.91
11432,512111,779.6
11433,512112,623.03
11446,512125,872.6
11447,512126,733.74
11453,512168,1649.63
11455,512170,640.0
11462,512177,2024.06
11466,512244,762.0
11468,512247,963.01
11477,512271,906.25
11479,512276,697.84
11484,512282,2623.72
11487,512285,733.05
11491,512289,1287.78
11496,512295,957.22
11505,512306,1575.98
11507,512309,673.62
11513,512321,648.24
11518,512332,647.41
11519,512335,1002.26
11523,512386,1796.48
11524,512397,1323.1200000000001
11527,512400,656.5699999999999
11528,512401,680.74
11532,512406,618.76
11537,512411,7896.14
11541,512416,1148.4
11544,512419,984.31
11554,512434,979.6
11555,512435,1620.79
11557,512437,1728.92
11570,512455,1133.25
11573,512458,1680.34
11580,512494,1342.7199999999998
11581,512499,629.9
11595,512522,611.94
11597,512525,680.8
11598,512527,718.9
11600,512532,1253.86
11606,512538,787.17
11608,512540,623.64
11611,512544,829.2
11612,512545,1468.12
11626,512559,615.23
11634,512567,896.8000000000001
11635,512568,1061.38
11644,512589,2012.1
11646,512591,881.4
11647,512593,750.36
11655,512606,617.27
11656,512607,906.67
11657,512608,1106.52
11679,512696,594.1
11686,512708,704.59
11688,512710,706.14
11692,512721,738.6
11698,512733,1445.72
11707,512742,631.45
11709,512744,1212.4
11710,512745,600.84
11712,512748,955.06
11716,512754,3248.86
11718,512759,4620.86
11724,512771,25111.1
11726,512776,772.48
11738,512797,924.55
11739,512798,1040.1
11747,512807,4175.02
11762,512893,1192.6000000000001
11770,512902,670.88
11779,512911,992.8
11791,512924,935.4
11796,512930,805.74
11804,512938,1286.25
11812,512946,700.6800000000001
11816,512950,678.82
11820,512954,1786.71
11821,512955,1956.84
11829,513020,720.5
11838,513050,765.6
11844,513056,1535.31
11850,513095,628.87
11854,513099,2913.41
11855,513101,662.2
11868,513115,762.08
11892,513182,616.6
11899,513190,1272.16
11906,513199,1134.66
11907,513200,1183.89
11910,513203,806.01
11929,513264,765.0
11935,513270,989.3
11944,513279,1633.67
11956,513305,1222.91
11959,513308,1173.1399999999999
11975,513328,1479.91
11978,513331,4453.799999999999
11981,513334,610.26
11982,513335,1294.8700000000001
11983,513336,1544.87
11985,513338,1502.98
11991,513344,845.0
12002,513372,657.39
12017,513405,1685.6499999999999
12040,513450,1549.66
12064,513494,998.09
12068,513498,837.3100000000001
12072,513540,1176.2
12075,513543,665.25
12095,513568,684.12
12101,513574,4852.7
12114,513589,863.9100000000001
12117,513593,620.5899999999999
12119,513596,991.08
12128,513606,634.16
12129,513607,1903.16
12136,513615,725.31
12146,513625,928.83
12147,513626,636.87
12158,513637,720.3
12167,513647,13330.38
12169,513649,1540.0
12171,513651,666.4
12173,513653,7500.32
12174,513655,1470.04
12186,513667,1321.95
12189,513674,975.33
12195,513732,998.27
12196,513744,730.9
12202,513762,2151.27
12203,513763,1230.33
12204,513764,1257.91
12206,513767,1740.24
12207,513768,767.05
12209,513770,595.39
12214,513776,2814.0
12220,513783,1345.62
12226,513789,708.1
12237,513800,603.46
12250,513813,759.13
12264,513827,755.02
12265,513830,1420.6000000000001
12271,513857,942.4
12275,513876,751.5
12279,513907,1167.01
12281,513919,2145.0
12288,513939,677.55
12291,513942,1544.6599999999999
12292,513943,944.0799999999999
12299,513952,1552.8
12300,513953,1548.14
12301,513956,754.84
12304,513960,836.75
12306,513963,3499.8
12307,513964,1765.95
12308,513965,686.4
12315,513973,1020.0
12319,513987,2326.7400000000002
12320,513990,838.74
12322,513992,1044.21
12328,514004,620.65
12339,514022,594.17
12340,514023,710.41
12342,514036,679.08
12345,514059,624.12
12349,514082,3921.74
12351,514087,1421.4
12355,514097,1799.07
12388,514152,678.2
12394,514163,622.26
12396,514165,806.0600000000001
12400,514198,1307.32
12401,514203,659.3
12409,514218,914.33
12411,514220,869.6800000000001
12412,514221,1950.98
12416,514226,611.66
12429,514280,2654.01
12443,514305,827.6
12463,514330,831.1
12470,514338,1299.66
12483,514355,1793.0
12489,514362,1305.32
12495,514369,2464.63
12509,514387,2216.39
12511,514389,788.4
12520,514463,1077.13
12530,514480,720.67
12532,514483,846.22
12540,514493,648.78
12553,514507,655.01
12554,514508,854.88
12555,514509,3439.02
12561,514515,724.56
12563,514517,664.8
12567,514521,1172.6399999999999
12570,514525,990.0
12573,514530,631.38
12575,514532,1570.3
12591,514563,864.03
12606,514639,622.0
12607,514643,1113.7
12608,514660,731.48
12627,514679,1892.87
12640,514695,639.9
12659,514714,611.7
12664,514721,1547.01
12671,514728,2162.18
12672,514729,3274.4
12682,514797,892.5
12691,514809,816.6
12697,514823,829.25
12707,514835,1402.93
12713,514841,832.9
12720,514850,750.76
12733,514866,1230.2
12736,514870,1125.0
12741,514876,2869.52
12767,514950,1227.65
12770,514962,1554.45
12777,514972,1169.02
12783,514979,771.65
12792,514993,611.67
12807,515009,629.8
12809,515012,1760.39
12810,515013,1991.06
12814,515018,607.62
12856,515114,655.41
12864,515123,715.02
12866,515126,637.4
12867,515127,636.0400000000001
12868,515128,715.02
12870,515146,715.02
12872,515149,716.08
12885,515165,908.32
12902,515187,17995.88
12905,515192,1895.3799999999999
12907,515253,679.3000000000001
12908,515254,2243.06
12918,515280,702.9
12919,515281,2970.7500000000005
12924,515287,1580.59
12931,515296,3031.4000000000005
12938,515305,1197.15
12957,515329,972.24
12960,515332,599.98
12962,515334,1598.75
12969,515341,825.0
12975,515347,664.58
12976,515348,1583.82
12981,515353,1792.09
12988,515404,628.82
12998,515417,655.25
13001,515420,938.9399999999999
13003,515423,661.51
13011,515439,1539.11
13012,515455,1191.56
13014,515458,599.55
13028,515475,1189.94
13029,515476,633.02
13032,515479,1307.75
13033,515480,1111.14
13039,515487,990.0
13040,515502,1275.0
13049,515530,838.9
13058,515588,846.77
13062,515592,639.08
13065,515595,1113.56
13067,515598,642.14
13078,515609,1578.93
13086,515621,1723.18
13088,515624,1189.94
13104,515690,1184.66
13116,515742,1706.23
13122,515758,1930.8
13123,515759,1495.51
13128,515764,742.86
13132,515769,636.0
13144,515795,1188.88
13147,515809,1161.47
13152,515814,1220.32
13155,515817,660.0
13183,515880,737.03
13189,515888,752.84
13201,515909,794.22
13202,515910,1562.8
13217,515930,2284.92
13218,515931,717.95
13219,515932,3761.6400000000003
13223,515936,2284.92
13226,515939,657.71
13227,515940,1636.8000000000002
13230,515944,22863.36
13241,515956,666.6
13245,515971,894.96
13268,516015,606.36
13272,516019,801.98
13310,516112,1970.27
13314,516116,875.45
13315,516117,702.45
13316,516119,662.39
13327,516131,2903.71
13329,516133,1259.05
13340,516146,1393.82
13346,516153,2819.16
13356,516164,969.35
13380,516189,1511.37
13385,516194,4692.92
13387,516196,617.05
13388,516197,941.91
13393,516224,612.24
13402,516267,977.58
13404,516269,1518.96
13405,516270,3678.86
13410,516287,1178.5900000000001
13411,516292,942.86
13416,516306,1105.5
13419,516309,1199.3600000000001
13434,516327,723.69
13460,516378,3078.21
13462,516430,3970.13
13464,516432,617.5
13477,516452,675.88
13479,516454,750.0
13486,516464,788.4
13492,516470,1597.18
13498,516476,1119.34
13507,516485,824.49
13510,516488,1153.14
13511,516489,765.0
13515,516494,953.19
13518,516536,669.12
13520,516538,1230.75
13522,516548,1751.6
13529,516569,1143.26
13542,516601,965.6800000000001
13546,516610,1748.57
13549,516615,1185.38
13557,516625,1356.13
13561,516629,832.28
13580,516696,733.14
13625,516748,1222.22
13630,516753,745.42
13639,516768,606.25
13640,516769,1108.65
13643,516773,827.65
13645,516775,3787.06
13651,516781,8328.31
13654,516785,617.5
13655,516786,1155.0
13657,516788,799.8599999999999
13663,516840,1151.28
13678,516875,632.81
13684,516884,1484.26
13685,516885,1212.0
13691,516891,785.33
13692,516892,1581.09
13699,516902,688.66
13711,516915,684.73
13718,516922,995.66
13721,516925,1079.56
13739,516944,720.29
13740,516945,683.1700000000001
13745,516951,784.85
13747,516954,840.55
13751,516959,691.98
13752,516960,1389.12
13754,516962,1231.74
13755,516963,870.42
13756,516964,1434.7
13758,516967,622.0
13771,517001,1003.0799999999999
13772,517009,626.35
13776,517042,613.11
13780,517047,661.02
13796,517070,656.38
13798,517076,1715.95
13801,517093,620.24
13802,517094,1043.46
13807,517106,606.26
13814,517116,1021.52
13822,517124,1071.82
13835,517144,1328.65
13837,517154,1095.06
13852,517218,977.21
13857,517225,610.08
13871,517242,1992.0
13877,517250,3297.6000000000004
13880,517253,3947.58
13888,517268,686.9
13890,517270,1443.2
13895,517275,960.41
13899,517298,1164.15
13933,517351,881.23
13936,517354,884.08
13949,517384,753.05
13952,517391,2496.6
13954,517393,3485.5
13955,517394,603.25
13961,517400,637.86
13962,517401,1045.0
13963,517402,1871.56
13965,517404,3417.12
13968,517454,2559.35
13971,517467,627.62
13978,517483,3610.5
13981,517487,610.48
13982,517491,720.9200000000001
13985,517509,984.1999999999999
13989,517513,811.91
13996,517521,1166.46
14036,517578,672.93
14045,517628,754.4300000000001
14061,517645,776.02
14062,517646,1633.86
14065,517650,637.44
14071,517665,887.68
14085,517712,778.71
14087,517714,1024.01
14101,517731,21984.0
14111,517744,910.17
14117,517750,713.75
14121,517754,1424.0
14128,517761,601.25
14130,517764,1554.6
14133,517814,1870.17
14136,517817,5737.32
14157,517859,911.47
14158,517860,829.35
14160,517862,747.39
14165,517867,660.12
14180,517893,986.2099999999999
14185,517905,750.0
14189,517909,728.9200000000001
14192,517914,1733.5
14194,517931,755.7
14196,517934,800.0
14201,517951,732.61
14203,517953,2780.3199999999997
14219,517974,1503.55
14222,517977,905.74
14223,517978,993.75
14226,517981,1188.27
14231,517986,1404.77
14234,517989,1193.74
14235,517990,681.78
14261,518062,737.4
14262,518063,1161.18
14264,518065,650.64
14265,518067,1258.86
14271,518077,889.02
14272,518079,613.8
14274,518081,1108.8
14276,518115,596.68
14277,518133,791.4
14281,518138,1418.91
14285,518142,1782.45
14295,518153,1160.0
14299,518157,905.48
14301,518159,634.35
14305,518200,759.35
14310,518205,1210.8
14311,518206,2675.14
14317,518220,1045.94
14322,518225,921.76
14324,518227,613.38
14325,518228,660.39
14327,518230,797.62
14329,518232,761.66
14345,518250,1339.6
14356,518271,689.09
14376,518331,1496.6399999999999
14378,518333,952.1
14380,518335,631.92
14382,518337,765.94
14398,518360,1494.36
14409,518377,1145.4
14417,518385,777.21
14418,518386,828.06
14423,518392,854.67
14426,518395,751.6
14427,518396,804.74
14434,518403,676.17
14436,518405,974.9
14449,518418,845.17
14458,518427,869.28
14461,518431,699.18
14465,518451,1080.5
14485,518501,1115.58
14488,518505,11880.84
14504,518545,1436.48
14505,518546,699.35
14510,518551,714.0
14511,518552,635.04
14512,518553,759.84
14523,518570,1646.81
14525,518579,1759.33
14530,518623,660.0
14531,518649,949.62
14540,518660,2036.08
14542,518662,1124.29
14544,518664,914.23
14551,518673,16483.0
14557,518681,596.26
14558,518683,651.46
14571,518735,3814.1600000000003
14572,518737,2063.88
14575,518749,985.1
14577,518752,873.35
14582,518757,786.76
14589,518766,616.0
14595,518774,1744.86
14596,518775,1340.05
14598,518777,800.0
14601,518781,1883.65
14605,518787,964.12
14607,518789,847.04
14610,518792,2403.84
14622,518847,1190.67
14631,518865,655.8000000000001
14646,518896,806.4
14649,518900,2480.48
14651,518902,597.51
14693,518948,933.45
14695,518950,2083.42
14699,518959,737.6
14709,518981,1600.6399999999999
14744,519027,1098.46
14789,519124,1497.6
14793,519165,754.7900000000001
14799,519172,1053.74
14804,519177,1735.39
14807,519180,1302.26
14811,519184,1191.93
14818,519192,904.7199999999999
14819,519193,5849.65
14820,519194,623.33
14821,519195,6314.0
14822,519196,5676.8099999999995
14827,519201,1536.0
14833,519208,1650.0
14841,519216,628.8000000000001
14842,519217,967.94
14845,519222,680.0
14851,519229,746.99
14859,519237,611.39
14864,519242,990.48
14868,519246,884.0600000000001
14871,519249,792.66
14872,519251,1124.8
14886,519267,1019.9999999999999
14899,519341,1341.49
14901,519343,1858.91
14904,519358,1556.3799999999999
14930,519386,922.84
14931,519388,680.36
14933,519390,3237.6000000000004
14939,519396,694.34
14942,519401,918.29
14945,519404,5897.68
14948,519407,792.48
14954,519428,750.96
14958,519462,3434.61
14961,519468,2777.12
14963,519470,1789.6
14965,519473,1574.61
14967,519475,612.54
14969,519477,802.13
14975,519486,761.4300000000001
14976,519488,1383.53
14988,519509,1056.74
14991,519514,12513.68
14993,519516,736.05
14994,519517,883.4200000000001
15005,519560,1982.1399999999999
15006,519564,1634.64
15007,519568,611.7
15015,519576,939.4399999999999
15024,519586,864.9100000000001
15029,519592,613.3299999999999
15043,519606,1666.92
15044,519607,1058.56
15047,519610,1448.57
15050,519613,659.03
15052,519615,652.8
15056,519619,894.51
15059,519622,790.98
15061,519640,6785.24
15063,519656,671.25
15078,519673,697.1999999999999
15084,519682,730.53
15087,519687,984.22
15094,519694,712.98
15105,519710,612.0
15108,519713,867.0
15109,519714,2047.28
15117,519722,1838.32
15131,519738,978.11
15140,519785,833.48
15147,519792,1043.15
15148,519793,1851.02
15150,519800,3101.89
15156,519811,722.8199999999999
15161,519816,711.18
15162,519817,2560.4
15163,519818,664.84
15165,519820,648.64
15174,519829,609.83
15184,519868,1298.31
15189,519877,908.8
15193,519881,895.4
15199,519887,1032.29
15213,519902,1165.14
15216,519905,1117.74
15219,519908,671.63
15221,519910,1193.1200000000001
15224,519913,1650.24
15239,519928,660.0
15247,519936,721.7099999999999
15250,519939,760.1
15260,519993,682.07
15266,520021,1720.24
15274,520041,2484.16
15285,520058,616.64
15287,520061,1236.23
15289,520063,2815.29
15294,520071,657.1
15299,520076,866.8
15300,520077,704.0
15305,520082,2023.64
15310,520092,694.6
15319,520169,695.55
15321,520171,1387.1999999999998
15323,520173,2982.82
15326,520176,676.5799999999999
15328,520179,690.32
15340,520192,658.62
15341,520193,872.9
15342,520194,633.25
15355,520213,618.85
15356,520214,3963.76
15364,520222,1311.9
15369,520228,1038.26
15373,520246,751.55
15375,520312,1092.72
15393,520334,616.59
15395,520336,1231.21
15396,520337,908.16
15401,520344,903.1600000000001
15416,520363,1070.49
15435,520392,750.9
15443,520404,1702.3
15444,520405,773.87
15445,520406,3846.98
15464,520428,1051.88
15465,520484,868.14
15475,520494,699.8
15477,520496,675.46
15481,520500,1705.55
15484,520503,1300.0
15485,520504,2901.0
15489,520508,784.5200000000001
15492,520511,1573.5
15498,520517,805.88
15519,520539,957.98
15523,520555,611.02
15527,520561,671.38
15533,520568,1022.6600000000001
15536,520571,1347.86
15557,520663,2561.2799999999997
15562,520670,638.2
15567,520675,657.6800000000001
15572,520680,1868.56
15573,520681,2197.45
15576,520685,1760.49
15583,520697,881.34
15584,520698,665.27
15593,520707,1963.53
15599,520713,1121.22
15603,520717,941.8
15615,520730,609.24
15620,520736,2837.8799999999997
15627,520744,823.8
15629,520746,837.07
15630,520750,1868.56
15631,520754,1334.78
15632,520771,8251.69
15640,520824,2502.35
15643,520833,1373.61
15655,520860,794.08
15659,520871,686.37
15660,520872,1136.84
15662,520874,874.89
15663,520875,682.8199999999999
15666,520878,937.93
15667,520879,1339.6
15692,520906,3271.98
15693,520947,757.95
15694,520948,5827.84
15703,520968,871.88
15707,520987,639.01
15708,520989,1362.9
15710,520992,942.54
15728,521031,1335.47
15732,521035,714.06
15735,521038,1055.75
15743,521097,1055.75
15745,521112,5023.92
15747,521115,783.84
15756,521124,1231.15
15766,521150,776.02
15776,521162,861.3
15782,521169,811.38
15785,521172,1389.31
15795,521182,2578.14
15797,521184,660.0
15811,521200,630.48
15812,521202,2072.72
15824,521214,607.74
15827,521217,671.96
15828,521219,1565.52
15834,521225,1260.0
15839,521244,1723.08
15840,521250,958.8799999999999
15843,521269,804.5999999999999
15852,521313,1980.0
15853,521314,788.4
15854,521315,5293.92
15857,521318,1515.02
15860,521325,1161.6
15865,521339,3752.4
15868,521342,634.35
15870,521344,638.09
15877,521352,676.22
15882,521357,2349.24
15885,521361,1240.8
15887,521363,655.0
15889,521365,1102.5900000000001
15899,521375,619.14
15900,521376,618.04
15913,521390,688.67
15916,521393,1071.91
15923,521400,1188.0
15926,521403,2382.92
15929,521406,979.0
15934,521430,2204.76
15936,521450,750.9
15940,521470,660.35
15941,521471,1238.85
15947,521479,1095.95
15950,521483,1157.32
15952,521486,1836.85
15953,521488,2267.6
15961,521496,781.22
15973,521544,1410.46
15983,521555,938.26
15988,521560,621.6
15994,521566,3960.1
15995,521567,1226.8
15996,521568,2403.1
16003,521577,796.86
16007,521617,1166.99
16008,521642,812.13
16009,521645,920.6999999999999
